Title;Link;Media_name;Picture;Published
Turkey elections spur renewed interest from foreign investors;https://asia.nikkei.com/Politics/Turkey-elections/Turkey-elections-spur-renewed-interest-from-foreign-investors;Nikkei Asia;Election;2023.3.29
Killer drones and multi-billion dollar deals: Turkey’s rapidly-growing defense industry is boosting its global clout;https://www.cnbc.com/2023/03/28/killer-drones-turkeys-growing-defense-industry-is-boosting-its-global-clout.html;CNBC;Drone;2023.3.28
IMF warns Lebanon at ‘very dangerous moment’ amid failure to pass crucial reforms;https://www.reuters.com/world/middle-east/turkey-says-iraq-was-ordered-pay-compensation-ankara-arbitration-case-2023-03-28/;Reuters;Compensation;2023.3.29
Turkey says Iraq was ordered to pay compensation to Ankara in arbitration case;https://www.reuters.com/world/middle-east/turkey-says-iraq-was-ordered-pay-compensation-ankara-arbitration-case-2023-03-28/;CNBC;IsraelLebanon;2023.3.15
