Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita PPP (log)
St. Vincent and the Grenadines,East Caribbean Dollar,XCD,15045.30178,4.177400903
Djibouti,Djibouti Franc,DJF,5397.679018,3.732207055
Barbados,Barbados Dollar,BBD,15110.95733,4.179291979
Palau,US Dollar,USD,15144.56896,4.180256917
Syrian Arab Republic,Syrian Pound,SYP,4684.72,3.670683639
Saint Lucia,East Caribbean Dollar,XCD,9362.35,3.971384873
Grenada,East Caribbean Dollar,XCD,8223.3,3.915046134
Anguilla,East Caribbean Dollar,XCD,12200,4.086359831
Saint Kitts and Nevis,East Caribbean Dollar,XCD,23899.89,4.378395902
Belize,Belize Dollar,BZD,9626.573571,3.983471734
U.R. of Tanzania: Mainland,Tanzanian Shilling,TZS,2836.242432,3.45274335
Yemen,Yemeni Rial,YER,2285,3.358886204
Cuba,Cuban Convertible Peso,CUC,21016.65,4.322563492
Eritrea,Nakfa,ERN,2102.95,3.322828947
State of Palestine,US Dollar,USD,5643.07,3.751515438
D.P.R. of Korea,North Korean Won,KPW,1700,3.230448921
Antigua and Barbuda,East Caribbean Dollar,XCD,21010.00357,4.322426126
Turks and Caicos Islands,US Dollar,USD,20337.69338,4.308301695
Panama,Balboa,PAB,31900.94175,4.503803504
Seychelles,Seychelles Rupee,SCR,31596.15966,4.4996343
Guatemala,Quetzal,GTQ,9806.82822,3.991528568
Bahamas,Bahamian Dollar,BSD,33188.73247,4.520990666
Puerto Rico,US Dollar,USD,35850.32193,4.55449306
Aruba,Aruban Guilder,AWG,42698.35987,4.630411193
Oman,Rial Omani,OMR,37676.0574,4.57606545
Saudi Arabia,Saudi Riyal,SAR,48710.94768,4.687626579
Bahrain,Bahraini Dinar,BHD,54256.77143,4.734453947
United States,US Dollar,USD,69287.53659,4.840655121
Cayman Islands,Cayman Islands Dollar,KYD,74155.27789,4.870142067
United Arab Emirates,UAE Dirham,AED,76609.198,4.884280916
Bermuda,Bermudian Dollar,BMD,88185.46587,4.945397014
Qatar,Qatari Rial,QAR,102018.1159,5.008677299
Belarus,Belarussian Ruble,BYN,21698.57409,4.336431195
Burundi,Burundi Franc,BIF,774.5428909,2.889045472
Zanzibar,Tanzanian Shilling,TZS,1099,3.040997692
Sri Lanka,Sri Lanka Rupee,LKR,14706.54132,4.167510547
Bolivia (Plurinational State of),Boliviano,BOB,8846.081965,3.946750959
Myanmar,Kyat,MMK,4430.222427,3.646425531
"China, Hong Kong SAR",Hong Kong Dollar,HKD,65891.69471,4.818830678
"China, Macao SAR",Pataca,MOP,71185.65564,4.852392489
Tonga,Pa'anga,TOP,6748.512118,3.829208032
Turkmenistan,Turkmenistan Manat,TMT,14992.6,4.175876954
Madagascar,Malagasy Ariary,MGA,1607.935225,3.206268549
Solomon Islands,Solomon Islands Dollar,SBD,2648.732207,3.423038052
Guyana,Guyana Dollar,GYD,24086.90092,4.381780926
Afghanistan,Afghan Afghani,AFN,1665.805842,3.221624381
Nicaragua,Cordoba Oro,NIO,6194.70035,3.792020304
Canada,Canadian Dollar,CAD,52085.03569,4.716712966
Ethiopia,Ethiopian Birr,ETB,2547.716814,3.406151153
Botswana,Pula,BWP,16304.15336,4.212298252
Iceland,Iceland Krona,ISK,57611.59178,4.760509875
Nepal,Nepalese Rupee,NPR,4209.759393,3.624257275
India,Indian Rupee,INR,7241.98423,3.859857575
Bhutan,Ngultrum,BTN,11983.31697,4.078577047
Liberia,Liberian Dollar,LRD,1563.552927,3.194112587
T?rkiye,New Turkish Lira,TRY,30737.0175,4.487661724
Uzbekistan,Uzbekistan Sum,UZS,8497.448308,3.929288531
Lao People's DR,Kip,LAK,8620.647618,3.935539893
Norway,Norwegian Krone,NOK,79201.23025,4.898731928
Dominican Republic,Dominican Peso,DOP,20462.51713,4.310959056
Jamaica,Jamaican Dollar,JMD,10542.73779,4.022953405
Bangladesh,Taka,BDT,6493.809393,3.812499537
Rwanda,Rwanda Franc,RWF,2459.707347,3.390883438
Paraguay,Guarani,PYG,15037.18964,4.177166677
Kenya,Kenyan Shilling,KES,5211.170533,3.716935285
Israel,New Israeli Sheqel,ILS,43721.62304,4.640696276
Mauritius,Mauritius Rupee,MUR,23035.283,4.362393552
Tajikistan,Somoni,TJS,4288.16789,3.63227178
Lesotho,Loti,LSL,2521.530663,3.401664254
Eswatini,Lilangeni,SZL,9730.068125,3.988115881
Namibia,Namibian Dollar,NAD,10038.73827,4.001679131
South Africa,Rand,ZAR,14624.41517,4.165078508
Kyrgyzstan,Som,KGS,5289.687125,3.723429985
Gambia,Dalasi,GMD,17013.56632,4.230795358
Mongolia,Tugrik,MNT,12818.87945,4.107850063
Nigeria,Naira,NGN,5407.979457,3.733035033
Colombia,Colombian Peso,COP,16819.17629,4.225804723
Angola,Kwanza,AOA,6491.125578,3.812320011
Ghana,Cedi,GHS,5435.24,3.735218726
Suriname,Surinam Dollar,SRD,16222.6757,4.210122486
Haiti,Gourde,HTG,3153.12702,3.498741466
Pakistan,Pakistan Rupee,PKR,5748.005952,3.759517209
Zambia,Kwacha,ZMW,3555.920229,3.55095201
Russian Federation,Russian Ruble,RUB,32862.62109,4.516702199
Sierra Leone,Leone,SLL,1773.899246,3.248928949
Argentina,Argentine Peso,ARS,23649.6703,4.373825091
Egypt,Egyptian Pound,EGP,12706.40445,4.104022675
Venezuela (Bolivarian Republic of),Bolivar Digital,VEF,17131.39,4.233792602
Lebanon,Lebanese Pound,LBP,14256.68971,4.154018697
