,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,today_rate,PPP,coffee,Final score,id
134,Lebanon,Lebanese Pound,LBP,14256.68971,4136.1,69.0774043409546,0.0864487649849577,0.29011643545126997,2.5534966363313636,7.085804855219741,134
185,Syrian Arab Republic,Syrian Pound,SYP,4684.72,726.74,0.4181589172678737,0.5150547869309979,0.15512986902098738,4.7754268519948235,3.660274225853393,185
203,Venezuela (Bolivarian Republic of),Bolivar Digital,VEF,17131.39,15975.7,16.886549757387296,0.0005335628692538,0.9325396246305758,0.7944019991244172,3.645856974943698,203
159,Pakistan,Pakistan Rupee,PKR,5748.005952,1505.0,6.612873343476992,4.574874785306906,0.26182993068689153,2.8293607996832106,3.5985158762321925,159
206,Zambia,Kwacha,ZMW,3555.920229,1137.3,7.570501588932449,61.18486972607663,0.31983282153655984,2.3162455263665973,3.4845841765642884,206
105,Egypt,Egyptian Pound,EGP,12706.40445,3698.8,5.801772195882288,41.89109823656703,0.2910972977882819,2.5448925417647223,3.400913253071174,105
183,Suriname,Surinam Dollar,SRD,16222.6757,4869.1,5.639175201373704,36.69461428152979,0.3001416098085472,2.468206066269212,3.3529919741977166,183
170,Russian Federation,Russian Ruble,RUB,32862.62109,12194.8,5.611320203219846,16.745450427082826,0.3710842165207218,1.9963429030075581,3.1590040596046296,170
37,Argentina,Argentine Peso,ARS,23649.6703,10636.1,6.729669173534736,6.293008126571637,0.44973565656854,1.6472150501065794,3.13143142477718,37
182,Sudan,Sudanese Pound,SDG,4065.976074,751.8,-1.1847027431967592,2.264864107696212,0.1849002518257317,4.006545879491159,3.1040805871666746,182
201,Uzbekistan,Uzbekistan Sum,UZS,8497.448308,1983.2,0.9105010757774805,0.1134378501971785,0.23338770982965534,3.174166037320325,3.0803357482270624,201
132,Kyrgyzstan,Som,KGS,5289.687125,1276.7,1.2144087773542878,14.802987333446303,0.24135642994196937,3.0693665059902497,3.078909668300934,132
188,Tajikistan,Somoni,TJS,3903.32,1279.61,2.6227906727027377,118.5665491114969,0.32782605576791035,2.259769560823842,2.930253035213874,188
123,Iran (Islamic Republic of),Iranian Rial,IRR,16484.07536,4091.2,0.24828901682105606,0.0307841614820722,0.2481910517060388,2.9848430754332393,2.910879473759545,123
130,Kenya,Kenyan Shilling,KES,5211.170533,2081.8,3.3723327564515038,9.839823527346493,0.3994879819834904,1.8544020733516797,2.855251877596475,130
60,Bhutan,Ngultrum,BTN,11983.31697,3266.4,0.506605887967577,15.716506407876134,0.2725789535716504,2.7177862867337352,2.8395156861365187,60
0,Afghanistan,Afghan Afghani,AFN,1665.805842,368.8,-1.1955349778873043,14.928955974002951,0.2213943490300234,3.346116760951298,2.8348399443198,0
150,Myanmar,Kyat,MMK,4430.222427,1209.9,0.4636616214135391,0.6174666222072435,0.2731014119350446,2.7125870086876747,2.8313491005047715,150
67,Burundi,Burundi Franc,BIF,774.5428909,221.5,0.6306227380706373,0.6232102753651161,0.2859751249444978,2.590474756197904,2.80534553175472,67
137,Libya,Libyan Dinar,LYD,24130.82983,6357.2,-0.06481962750171136,270.154236136155,0.2634472185493009,2.811991510666222,2.7952003544203436,137
186,Turkiye,New Turkish Lira,TRY,30737.0175,9661.2,1.1776681855127793,67.95207250124166,0.3143180694093043,2.3568843606779097,2.7854724131096846,186
152,Nepal,Nepalese Rupee,NPR,4209.759393,1208.2,0.5066058864284122,9.81821421700836,0.28699977533371585,2.581226209002662,2.784214125329501,152
111,Gambia,Dalasi,GMD,2646.0,772.2,0.6214633644609642,21.047585675253703,0.29183673469387755,2.5384444588387334,2.7829970942814404,111
171,Rwanda,Rwanda Franc,RWF,2459.707347,822.3,1.5592619073277814,1.17852351758768,0.33430806351939557,2.2159541539933074,2.778767479756927,171
133,Lao People's DR,Kip,LAK,8620.647618,2535.6,0.3854937111409895,0.0766815210357564,0.29413103427469195,2.518643923093854,2.741722390521747,133
118,Haiti,Gourde,HTG,3153.12702,1829.6,4.344839434341726,8.30454200573548,0.5802493805022799,1.2767119913648097,2.731644838658768,118
29,Angola,Kwanza,AOA,6491.125578,1953.5,0.3544443958355572,2.562729622078146,0.30094934638468335,2.4615814952538013,2.714190447781657,29
106,Eritrea,Nakfa,ERN,2102.95,643.8,0.4083857801383755,86.2727110429157,0.3061413728334007,2.419834128307792,2.704962600881972,106
196,Uganda,Uganda Shilling,UGX,2467.899337,883.9,1.4460018860115356,0.3434188998309396,0.3581588546777911,2.068387622960532,2.7042014283783518,196
121,India,Indian Rupee,INR,7241.98423,2256.6,0.506605887967577,15.716506407876134,0.3115996843312651,2.377445739905494,2.701690900998542,121
205,Yemen,Yemeni Rial,YER,2285.0,701.7,0.4061063346797443,5.171791200845102,0.30708971553610503,2.4123612891951915,2.7016126161142444,205
49,Belarus,Belarussian Ruble,BYN,21698.57409,7302.3,0.9139913598448464,512.5166188636352,0.3365336344089696,2.2012995621382627,2.6868387235888416,49
147,Mongolia,Tugrik,MNT,12818.87945,4566.1,1.1769838985994534,0.3664739273476626,0.35620118106345094,2.0797554344360822,2.6731543313157164,147
154,Nicaragua,Cordoba Oro,NIO,6194.70035,2045.5,0.6787184936623669,35.434482098734485,0.33020160531251525,2.243512236617176,2.671535577099296,154
44,Azerbaijan,Azerbaijanian Manat,AZN,15854.55084,5388.0,0.6534328703987514,759.0529378088805,0.33983933410503353,2.1798869869498443,2.642252413272361,44
155,Nigeria,Naira,NGN,5407.979457,2065.7,1.1233872485813179,2.8105741268012427,0.3819726048193825,1.9394357938825457,2.6091443426169265,155
